Clave,Descripción,Línea,Pub,MM,Cj,min
13100,BOLSA PAPEL BLANCA  2 C/60,BOPAP,33.00,33.00,28.50,26.49
13120,BOLSA PAPEL BLANCA  4 C/40,BOPAP,56.38,56.38,48.86,46.98
13110,BOLSA PAPEL BLANCA 3 C/50,BOPAP,38.00,38.00,34.50,33.00
13260,BOLSA PAPEL DESPENSA 12,BOPAP,272.83,272.83,243.60,233.86
13280,BOLSA PAPEL DESPENSA 20,BOPAP,441.60,441.60,394.28,378.51
13285,BOLSA PAPEL DESPENSA 30,BOPAP,459.27,459.27,410.06,393.66
13288,BOLSA PAPEL DESPENSA 40,BOPAP,582.53,582.53,520.12,499.31
13290,BOLSA PAPEL DESPENSA 45,BOPAP,630.95,630.95,563.34,540.82
13300,BOLSA PAPEL DESPENSA 6,BOPAP,195.66,195.66,174.70,167.70
13270,BOLSA PAPEL DESPENSA 8,BOPAP,217.21,217.21,193.94,186.18
13298,BOLSA PAPEL DESPENSA D c/50 14X27X9,BOPAP,103.12,103.12,92.08,88.39
13301,BOLSA PAPEL DESPENSA F c/50 21X30X12,BOPAP,185.14,185.14,165.30,158.69
13303,BOLSA PAPEL DESPENSA H c/50 28X28X15,BOPAP,230.74,230.74,206.02,197.78
13306,BOLSA PAPEL DESPENSA I c/50 28X37X15,BOPAP,238.81,238.81,213.22,204.69
13308,BOLSA PAPEL DESPENSA J c/50 28X41X15,BOPAP,264.49,264.49,236.15,226.71
13320,BOLSA PAPEL RIÑON 27,BOPAP,14.00,14.00,13.20,13.20
13380,BOLSA PCO 100X160X300 NEGRA REC C/25,BOLNE,40.00,35.00,28.50,27.50
13360,BOLSA PCO 100X160X400 NEGRA 1ERA C/25,BOLSA,56.00,56.00,49.00,48.00
13400,BOLSA PCO 10X15X120 KG,BONAC,69.99,66.00,57.00,57.00
13420,BOLSA PCO 10X20X120 KG,BONAC,69.99,66.00,56.90,56.90
13440,BOLSA PCO 12X20X120 KG,BONAC,69.99,66.00,58.00,57.00
13460,BOLSA PCO 15X20X120 KG,BONAT,66.00,55.00,48.91,48.91
13480,BOLSA PCO 15X25X120 C/25 KG,BONAT,66.00,55.00,48.80,48.80
13500,BOLSA PCO 18X26X120 C/25 KG,BONAT,66.00,55.00,48.91,48.91
13540,BOLSA PCO 20X30X120 C/25 KG,BONAT,66.00,55.00,47.90,47.90
13580,BOLSA PCO 25X35X120 C/25 KG,BONAT,66.00,55.00,47.90,47.90
13700,BOLSA PCO 30X40X140 C/25 KG,BONAT,66.00,55.00,47.50,46.50
13780,BOLSA PCO 35X45X140 C/25 KG,BONAT,66.00,55.00,47.50,46.50
13840,BOLSA PCO 40X60X140 C/25 KG,BONAT,66.00,55.00,48.91,48.91
13880,BOLSA PCO 50X70X140 C/25 KG,BONAT,66.00,55.00,47.50,46.50
13900,BOLSA PCO 50X70X160 NEGRA REC KG,BOLNE,40.00,40.00,27.50,27.50
13960,BOLSA PCO 60X90X160 C/25 KG,BONAT,66.00,55.00,47.90,47.90
14000,BOLSA PCO 60X90x180 NEGRA REC C/25KG,BOLNE,34.00,34.00,27.50,27.04
14120,BOLSA PCO 8X12X120 C/25 (KG),BONAC,80.01,72.00,62.50,61.50
14160,BOLSA PCO 90X120X200 NAT KG,BOLSA,69.99,58.00,52.00,51.01
14200,BOLSA PCO 90X120X300 NEGRA REC C/25 (KG),BOLNE,34.00,34.00,27.50,27.04
14500,BOLSA POLI 30X60X50 ASA COL C/25 KILEADA,BOLSA,54.00,54.00,49.00,46.01
14380,BOLSA POLIPAPEL SUELTA 20X30 C/25,BOPOS,69.99,60.00,56.00,54.00
14420,BOLSA POLIPAPEL SUELTA 25X35 C/25,BOPOS,69.99,69.99,64.00,64.00
14480,BOLSA POLIPAPEL SUELTA 30X40 C/25,BOPOS,69.99,60.00,56.00,54.00
14540,BOLSA POLIPAPEL SUELTA 35X45 C/25,BOPOS,69.99,60.00,56.00,54.00
14600,BOLSA POLIPAPEL SUELTA 40X60 C/25,BOPOS,69.99,60.00,56.00,54.00
14620,BOLSA POLIPAPEL SUELTA 50X70 C/25,BOPOS,69.99,60.00,56.00,54.00
14640,BOLSA POLIPAPEL SUELTA 60X90 C/25,BOPOS,80.01,69.99,66.00,66.00
15025,BOLSA POLIPRO SL 10X15 %,CELOP,25.00,25.00,22.01,22.01
15020,BOLSA POLIPRO SL 10X20 (%),CELOP,32.00,32.00,29.00,29.00
15060,BOLSA POLIPRO SL 12X20 (%),CELOP,39.00,39.00,34.00,33.00
15080,BOLSA POLIPRO SL 15X25 (%),CELOP,40.00,40.00,35.00,35.00
15100,BOLSA POLIPRO SL 18X26 (%),CELOP,60.00,60.00,50.00,50.00
15120,BOLSA POLIPRO SL 20X30 (%),CELOP,75.01,75.01,64.99,64.99
15140,BOLSA POLIPRO SL 25X35 (%),CELOP,95.00,95.00,95.00,95.00
15160,BOLSA POLIPRO SL 30X40 (%),CELOP,145.00,145.00,135.00,135.00
15180,BOLSA POLIPRO SL 35X45 (%),CELOP,165.00,165.00,155.00,155.00
15200,BOLSA POLIPRO SL 40X60 (%),CELOP,180.00,180.00,160.00,145.00
15260,BOLSA POLIPRO SL 6X13 (%),CELOP,15.00,15.00,13.00,13.00
15300,BOLSA POLIPRO SL 8X17 (%),CELOP,29.00,29.00,26.00,24.50
15320,BOLSA POLIPRO SL 8X20 (%),CELOP,20.00,20.00,16.00,16.00
15340,BOLSA POLIPRO SL 8X25 (%),CELOP,26.00,26.00,22.01,22.01
15380,BOLSA POLIPRO SL 8X35 (%),CELOP,35.99,35.99,33.00,33.00
15400,BOLSA POLIPRO SM 1 1/2 KG  (%),CELOP,64.99,60.00,55.00,55.00
15420,BOLSA POLIPRO SM 1 KG (%),CELOP,40.00,40.00,35.99,35.99
15440,BOLSA POLIPRO SM 100 GMS (%),CELOP,18.00,18.00,16.00,16.00
15460,BOLSA POLIPRO SM 10X20 (%),CELOP,25.00,25.00,23.00,23.00
15480,BOLSA POLIPRO SM 12X20 (%),CELOP,28.00,28.00,26.00,26.00
15500,BOLSA POLIPRO SM 150 GMS (%),CELOP,18.00,18.00,16.00,16.00
15560,BOLSA POLIPRO SM 2 KG (%),CELOP,64.99,64.99,62.00,58.00
15600,BOLSA POLIPRO SM 250 GMS (%),CELOP,24.00,24.00,19.50,18.50
15640,BOLSA POLIPRO SM 3 KG (%),CELOP,95.00,95.00,85.00,85.00
15700,BOLSA POLIPRO SM 3X20 (%),CELOP,18.00,18.00,16.00,16.00
15740,BOLSA POLIPRO SM 4 KG,CELOP,135.00,135.00,125.00,125.00
15780,BOLSA POLIPRO SM 5 KG (%),CELOP,165.00,165.00,155.00,155.00
15800,BOLSA POLIPRO SM 500 GMS (%),CELOP,31.00,31.00,29.00,29.00
15840,BOLSA POLIPRO SM 5X11 (%),CELOP,13.00,13.00,11.99,11.99
15860,BOLSA POLIPRO SM 6X13 (%),CELOP,15.00,15.00,9 .00,6 .50
15880,BOLSA POLIPRO SM 8X17 (%),CELOP,17.01,17.01,12.50,12.50
40701,BOLSA PURE DE TOMATE DEL FUERTE 6/2.9 KG,ABARR,85.00,85.00,77.00,75.00
16213,BOLSA ZIPTOP 4X6 CM C/10/100,BAJA,22.01,22.01,18.00,18.00
16260,BOMBONERA NO 3 ROJO PRIMO C/40/500,MATPR,56.00,56.00,49.00,49.00
16310,BOTANA SUPER,FRUSE,60.00,60.00,55.00,50.00
16320,BOTANA SURTIDA KG,FRUCA,70.00,70.00,64.00,64.00
24854,BOTE CUADRADO 16o c/20/25 inix 16SD INIX,DESIN,55.00,55.00,46.01,44.00
24852,BOTE CUADRADO 32o c/20/25 inix 32SD INIX,DESIN,75.01,75.01,68.00,62.00
13625,BOTELLA PARA DECORAR CON 6 DUYAS 5-5016,ALEGR,115.00,115.00,105.00,95.00
17541,BOX KRAFT #1 26 OZ C/9/50 PZ,CARTO,145.00,145.00,135.00,135.00
17749,BOX KRAFT #2 49 OZ C/4/50 PZ,CARTO,245.00,245.00,235.00,235.00
24002,BOX KRAFT #3 70 OZ C/4/50 PZ,DESEC,285.00,285.00,265.00,265.00
16321,BOX LUNCH CH BCA C/9/50 15X10X8,CARTO,128.41,128.41,114.14,109.39
16323,BOX LUNCH GDE BCA 10/25pz 22X13X13,CARTO,187.92,187.92,167.04,160.08
16325,BOX LUNCH UBER chica KRAF c/8/25,CARTO,108.05,108.05,96.05,92.05
16327,BOX LUNCH UBER grande KRAF C/6/25,CARTO,184.39,184.39,163.91,157.08
16326,BOX LUNCH UBER mediana KRAFc/6/25,CARTO,159.34,159.34,141.64,135.73
16333,BROCHA LARGA MADERA  40X5  54-862,ALEGR,78.00,78.00,72.00,69.00
16332,BROCHA MGO DE PLASTICO 4-1853,ALEGR,35.99,35.99,34.00,29.50
163324,BROCHA MGO PLAST 18X2.5  COT00400,ALEGR,27.84,27.84,23.20,21.72
31520,BROCHA SILI 21 CM 001123,ALEGR,39.00,39.00,35.99,28.00
16331,BROCHA SILICON MANGO TRASP 20.5X4 4-1712,ALEGR,35.00,35.00,28.50,26.49
5019,BUBBA NEON,SABOG,240.00,240.00,240.00,240.00
5018,BUBBA SABORES,SABOG,220.00,220.00,220.00,220.00
16610,CACAHUATE CRUDO ENTERO,FRUCA,49.40,49.40,44.84,42.56
16540,CACAHUATE ENCHILADO,FRUCA,68.00,68.00,63.00,61.50
16560,CACAHUATE ESPAÑOL,FRUCA,68.00,68.00,62.00,60.00
16580,CACAHUATE GARAPIÑADO,FRUCA,60.00,60.00,55.00,55.00
16579,CACAHUATE GARAPIÑADO C/AJONJOLI,FRUCA,65.00,65.00,58.00,55.00
16585,CACAHUATE HOT NUTS,FRUCA,59.74,59.74,54.23,52.00
16600,CACAHUATE JAPONES,FRUCA,68.00,68.00,63.00,61.50
16581,CACAHUATE MACHO,BAJA,91.00,91.00,82.60,78.40
16620,CACAHUATE SALADO,FRUCA,70.00,70.00,63.00,62.00
16640,CACAHUATE TOSTADO,FRUCA,69.79,60.49,54.90,52.11
19783,CACAO EN POLVO ORGANIC,SPECI,60.00,52.00,52.00,48.00
16535,CACAO NATURAL SEMILLA KG,MATPR,800.00,800.00,800.00,800.00
37012,CAFE BLASON AMERICANO 15/400 GR,ABARR,124.00,124.00,118.00,118.00
370111,CAFE BLASON EXPRESO 15/400gr,ABARR,124.00,124.00,118.00,118.00
20601,CAFE CARAMELO EX B 100 GR TROPIC,COLOT,48.63,48.63,45.02,41.42
20610,CAFE CARAMELO EX B 1KG TROPIC,COLOT,368.98,368.98,354.22,339.46
16700,CAFE CHOCOLATE 100 GMS EXTB TROPIC,COLOT,66.58,66.58,61.65,56.72
16715,CAFE CHOCOLATE EX 250 GR TROPIC,COLOT,180.00,180.00,165.00,165.00
16710,CAFE CHOCOLATE EX B 1 KG TROPIC,COLOT,476.66,476.66,457.60,438.53
370191,CAFE LEGAL 400/24,ABARR,83.66,83.66,81.48,80.03
37019,CAFE LEGAL soluble 200gr C/12 frasco,ABARR,79.00,79.00,75.00,74.00
37015,CAFE MOLIDO SOGA C/500 grs,ABARR,175.00,175.00,170.00,170.00
16302,CAJA PARA PIZZA 20 CAFE pieza,CARTO,6 .80,6 .80,6 .80,6 .80
16303,CAJA PARA PIZZA 25 CAFE pieza,CARTO,6 .50,6 .50,6 .00,6 .00
16305,CAJA PARA PIZZA 35 CAFE pieza,CARTO,8 .80,8 .80,8 .80,8 .80
16036,CAJA PARA PIZZA 41 CAFE pieza,CARTO,11.00,11.00,10.50,10.50
16312,CAJA TAKE OUT ALAMBRE 16oz C/9/50,CARTO,185.00,185.00,175.00,175.00
16313,CAJA TAKE OUT ALAMBRE 26oz C/9/50pz,CARTO,365.01,365.01,354.99,354.99
16314,CAJA TAKE OUT ALAMBRE 32oz C9/50pz,CARTO,245.00,245.00,235.00,235.00
39461,CAJETA CORONADO SQUEEZ 28/333,ABARR,59.00,59.00,56.00,56.00
16740,CAJETA ENVINADA CUBETA 5 KG pz,MATPR,495.00,495.00,485.00,485.00
16800,CAJETA HORNEABLE 12/900gr CORO MANGA,MATPR,126.00,126.00,118.00,118.00
42230,CAJETA QUEMADA C/5kg CORO,ABARR,515.00,515.00,505.00,505.00
17860,CAJETA QUEMADA CORO VIDRIO 1.200 C/12,ABARR,108.00,108.00,106.00,106.00
16840,CAJETA QUEMADA MANGA DOLCHE C/12,MATPR,92.00,92.00,89.00,89.00
16780,CAJETA QUEMADA REAL POTOSI C/5 KG,MATPR,465.00,465.00,455.00,455.00
39460,CAJETA REAL CORONAD SQUEEZE 594/12 PZ,ABARR,92.00,92.00,88.00,88.00
16860,CAJETA REAL POTOSI ENVINADA C/9/1.2,MATPR,145.00,145.00,135.00,128.00
16880,CAJETA REAL POTOSI QUEMADA  C/9/1.2 KG,MATPR,148.00,148.00,134.00,134.00
32795,CAJITA PAPAS TIPO MC C/20/50,FOOD,158.00,158.00,151.99,151.99
25296,CALDO CAMARON KNORR C/6/1.6,FOOD,525.00,525.00,525.00,525.00
252961,CALDO POLLO 1.5K KNORR,FOOD,185.00,185.00,180.00,180.00
25298,CALDO POLLO KNORR C/6/3.5,FOOD,315.00,315.00,315.00,315.00
40684,CALDO TOMATE KNORR 3.6 KG,ABARR,575.00,575.00,575.00,575.00
46062,CANADIENSE CARNE 10/100 GR PRAGNA,SPECI,55.00,55.00,51.00,51.00
16946,CANASTA RICANASTA C/48/ 10 pz ALTESA,PALET,40.00,40.00,38.00,38.00
17000,CANELA EN VARA KG,FRUSE,500.00,450.00,410.00,390.00
17040,CANELA MOLIDA SUSTITUTO GRANEL,MATPR,50.00,50.00,45.00,40.00
27990,CANELA POLVO PRAGNA 771GR,SPECI,280.00,280.00,265.00,245.00
17031,CANELA PURA KILO GRANEL,MATPR,380.00,380.00,320.00,320.00
17030,CANELA PURA POLVO ORGANIC C/250 GRS,SPECI,75.00,75.00,69.00,69.00
17120,CAPACILLO 4 BLANCO CORRU C/50/400PZ,PASTE,35.00,35.00,33.00,33.00
16281,CAPACILLO 4 BLANCO PRIMO C/50/500,PASTE,44.00,44.00,40.99,40.99
16280,CAPACILLO 4 ROJO PRIMO C/50/500,PASTE,42.00,42.00,39.00,39.00
17070,CAPACILLO 72 BCO escof C/20/500,PASTE,64.99,64.99,58.00,58.00
17071,CAPACILLO 72 ROJO escof C/20/500,PASTE,71.00,71.00,62.00,62.00
17140,CAPACILLO 73 ROJO  PRIMO C/20/500,PASTE,108.00,108.00,96.00,93.99
17062,CAPACILLO 73 ROJO C/20/500 escof,PASTE,78.00,78.00,78.00,78.00
17072,CAPACILLO 74 ROJO escof c/20/500,PASTE,97.00,97.00,92.00,92.00
17355,CAPACILLO AGUA MARINA BCP000318,ALEGR,45.41,45.41,39.15,36.02
17350,CAPACILLO AZUL BCP000312,ALEGR,45.41,45.41,39.15,36.02
17258,CAPACILLO CH DORADO C/50 4-2714,ALEGR,39.90,39.90,33.20,27.50
17328,CAPACILLO CH PLATEADO C/50 pz  4-2715,ALEGR,39.90,39.90,31.18,27.50
173411,CAPACILLO CIGÜEÑA AZUL 4-2319,ALEGR,39.90,39.90,31.18,27.50
17341,CAPACILLO CIGÜEÑA ROSA 4-2318,ALEGR,35.00,35.00,27.00,24.50
173229,CAPACILLO CORAZON NEGRO RJO 4-3136,ALEGR,32.19,28.98,38.63,24.68
17315,CAPACILLO CORAZONES COLOR 4-2314,ALEGR,39.00,39.00,32.00,26.49
17260,CAPACILLO DORADO C/50 4-2275,ALEGR,64.99,64.99,62.00,62.00
17139,CAPACILLO LETRAS 4-2305,ALEGR,35.00,31.32,27.14,24.01
173227,CAPACILLO LOVE CUPIDO 4-3139,ALEGR,32.19,28.98,38.63,24.68
17358,CAPACILLO LOVE YOU & ME 100PZ 4-2732,ALEGR,32.19,28.98,38.63,24.68
17259,CAPACILLO MD DORADO C/50 4-2722,ALEGR,39.90,39.90,33.20,27.50
17329,CAPACILLO MD PLATEADO C/50 pz  4-2723,ALEGR,42.00,42.00,38.50,27.50
172115,CAPACILLO NEGRO 100PZ 4-3135,ALEGR,32.19,28.98,38.63,24.68
17320,CAPACILLO PLATEADO 4-2276 C/50,ALEGR,64.99,64.99,62.00,62.00
17145,CAPACILLO PRIMERA COMUN VITRAL 4-2734,ALEGR,37.00,37.00,32.00,26.49
17146,CAPACILLO PRIMERA COMUNI AZUL 4-2736,ALEGR,37.00,37.00,32.00,26.49
173141,CAPACILLO UNICORNIO FLORES 4-2797,ALEGR,39.90,39.90,31.18,27.50
17340,CAPACILLO VELITAS 4-2179 C/100,ALEGR,34.34,34.34,26.83,24.68
173215,CAPACILLO VERDE 100pz 4-3106,ALEGR,32.19,32.19,26.83,25.11
17359,CAPEADOR KNORR C/6/1.1,FOOD,94.00,94.00,92.00,92.00
17420,CARAMELO GARI 1lt C/12pz,GRENE,79.00,79.00,77.00,71.00
17380,CARAMELO GARI 250 ML pz cj c/50 pz,GRENE,23.00,23.00,19.50,19.50
17480,CARAMELO SESAMIN C/10KG,DULCE,200.00,170.00,150.00,135.00
16642,CARDAMOMO SEMILLA KG,FRUSE,"1,300.00","1,300.00","1,200.00","1,050.00"
17852,CATSUP  MONTE 3.8/6,ABARR,134.00,134.00,128.00,128.00
175401,CATSUP 20.6 KG CUBETA BACHI,ABARR,452.00,452.00,452.00,452.00
42508,CATSUP ABAL 3.79 KG,FOOD,119.00,119.00,115.00,115.00
17581,CATSUP CLEMENTE 3KG C/6,FOOD,105.00,105.00,105.00,105.00
45580,CATSUP EMBASA TETRA C/12/1L,FOOD,31.00,31.00,29.50,28.10
17545,CATSUP PORCION ABAL C/1000 PZ,FOOD,495.00,495.00,495.00,495.00
17540,CATSUP PORCION zafran C/204,FOOZA,104.59,104.59,96.23,96.23
17580,CATSUP STAR 3.8 KG C/6,FOOD,94.00,94.00,91.00,91.00
17615,CEBADA PERLA,ABARR,60.00,60.00,60.00,60.00
17605,CEBOLLA EN POLVO ORGANIC C/200 GRS,SPECI,48.00,48.00,45.00,42.00
17606,CEBOLLA EN POLVO PRAGNA C/724 GR,SPECI,235.72,235.72,209.53,200.80
17640,CEREZA ROJA 237 GR C/24,FRUSE,39.00,39.00,33.50,31.50
17660,CEREZA ROJA CON tallo 3.6 C/4,FRUSE,285.00,285.00,275.00,265.00
17680,CEREZA ROJA SIN tallo 3.6 C/4,FRUSE,245.00,245.00,235.00,235.00
17620,CEREZA ROJA TROZOS GALON C/4,FRUSE,285.00,285.00,275.00,275.00
17720,CEREZA VERDE SIN tallo C/4/3.6,FRUSE,265.00,265.00,255.00,255.00
38903,CHABACANO DESHIDRATADO,FRUSE,400.00,400.00,380.00,360.00
17740,CHAMOY 1 KG AUTENTICO C/20,SALSA,48.00,48.00,46.00,46.00
17760,CHAMOY 1 LT CHILERITO LT C/12,SALSA,39.00,39.00,37.50,36.50
17780,CHAMOY 1 LT MEGA C/12,SALSA,34.00,34.00,31.50,29.50
17840,CHAMOY 500 MEGA C/24,SALSA,20.00,20.00,19.00,18.50
17880,CHAMOY GALON MEGA C/6,SALSA,91.00,91.00,86.00,86.00
17900,CHAMPIÑON REBANADO MONTE C/2.8,ABARR,139.00,139.00,133.00,133.00
17901,CHAMPIÑON TROZO MONTE C/6/2.8,ABARR,128.00,128.00,124.00,123.00
17963,CHAROLA 066 10/50 CONVERMEX,DETER,17.01,17.01,15.50,15.50
17961,CHAROLA 066 BIODE MARIEL C/10/50,DETER,22.01,22.01,20.50,19.80
24151,CHAROLA 066 BIOPLAST 10/50 PZ,DETER,17.01,17.01,12.35,11.40
19560,CHAROLA 066 MAJORE 10/50 PZ,DESEC,11.99,11.99,10.20,9 .80
17960,CHAROLA 066 MARIEL C/10/50,DETER,18.00,18.00,16.50,16.10
18020,CHAROLA 07 REYMA  C/10/50,DETER,62.50,62.50,53.24,51.85
18060,CHAROLA 105 REYMA C/10/50,DETER,52.00,52.00,46.01,43.00
18080,CHAROLA 10X14 REYMA C/8/25,DETER,81.34,81.34,69.29,67.48
181599,CHAROLA 12 RECT C/10/25pz CUEVAS,DESEC,245.00,245.00,235.00,230.00
181601,CHAROLA 14 RECT 10/10 pz CUEVAS,DESEC,190.00,190.00,180.99,180.99
181602,CHAROLA 20 RECT 10/10 CUEVAS,DESEC,275.00,275.00,265.00,255.00
18720,CHAROLA 835 UNICEL REYMA C/10/50,DETER,36.05,36.05,30.71,29.90
18381,CHAROLA 855 BIO MARIEL C10/50,DETER,30.00,30.00,27.50,26.90
24150,CHAROLA 855 BIOPLAST 10/50 PZ,DETER,24.00,24.00,18.85,17.40
49702,CHAROLA 855 MAJORE,DESEC,18.00,18.00,15.56,15.56
18380,CHAROLA 855 MARIEL C10/50,DETER,25.00,25.00,22.50,21.49
18740,CHAROLA 855L PET INIX C/10/25,DESIN,35.00,35.00,29.00,29.00
18440,CHAROLA 9H REYMA C/8/25,DETER,69.99,69.99,63.82,62.15
18458,CHAROLA HOT DOG CARTON chico c/10/100,PAPEL,162.01,162.01,155.00,155.00
18459,CHAROLA HOT DOG grande CARTON c/10/100,PAPEL,175.00,175.00,168.00,168.00
18460,CHAROLA MARBA 2 C/10/100,DESMA,66.00,66.00,59.00,57.50
18240,CHAROLA MARBA 3 C/10/100,DESMA,66.00,66.00,62.00,62.00
18260,CHAROLA MARBA 4 C/10/100,DESMA,140.00,140.00,132.00,124.00
18483,CHAROLA MARBA 5 ALUMINIO C/10/100,DESMA,245.00,245.00,225.01,214.99
18280,CHAROLA MARBA 5 C/10/100,DESMA,185.00,185.00,185.00,170.00
18484,CHAROLA MARBA 6 ALUMINIO C/5/100,DESMA,448.00,448.00,435.00,425.00
18300,CHAROLA MARBA 6 C/5/100,DESMA,305.00,305.00,295.00,275.00
18480,CHAROLA MARBA 7 C/5/100,DESMA,470.00,470.00,455.00,435.00
23240,CHAROLA NACHOS C/500 NCH1713 INIX,DOMOO,2 .51,2 .00,1 .75,1 .61
245251,CHAROLA PARA PIZZA 30 ALUMINIO PZ,MOALU,85.00,85.00,75.01,75.01
245252,CHAROLA PARA PIZZA 35 ALUMINIO PZ,MOALU,115.00,115.00,95.00,95.00
245253,CHAROLA PARA PIZZA 40 ALUMINIO PZ,MOALU,135.00,135.00,125.00,112.00
245254,CHAROLA PARA PIZZA 45 ALUMINIO PZ,MOALU,170.00,170.00,165.00,165.00
245249,CHAROLA PERFORADA PIZZA 33cm TOL01142,ALEGR,140.00,140.00,125.00,125.00
18519,CHAROLA PRIMO RECT 10 C/10/25 paq,DESEC,85.00,85.00,78.00,76.00
18520,CHAROLA PRIMO RECT 12 C/25/10,DESEC,98.00,98.00,88.00,88.00
18540,CHAROLA PRIMO RECT 14 C/10/10,DESEC,175.00,175.00,160.00,145.00
18580,CHAROLA PRIMO RECT 8 C/10/25,DESEC,80.14,84.52,73.74,70.54
18600,CHAROLA PRIMO REDONDA 12 C/30/10pz,DESEC,55.00,55.00,44.00,40.50
18620,CHAROLA PRIMO REDONDA 14 C/25/10 PZ,DESEC,105.00,98.00,84.00,84.00
18640,CHAROLA PRIMO REDONDA 20 C/10/10,DESEC,315.00,315.00,315.00,315.00
245267,CHAROLA REJILLA PIZZA APZS-10,ALEGR,90.00,90.00,85.00,80.01
23630,CHECOLINES C/12.5KG,DULCE,120.00,120.00,104.00,98.00
18780,CHIA PINTA KG,FRUSE,110.00,110.00,90.00,90.00
23782,CHICLE BOLA,DULCE,1 .00,1 .00,1 .00,1 .00
23781,CHICLES CANELS,DULCE,1 .00,1 .00,1 .00,1 .00
189500,CHILE ARBOL SIN CABO C/8 1KG,FRUSE,120.00,120.00,115.00,115.00
18800,CHILE BOTANERO 580GR C/6,MATPR,89.00,89.00,89.00,89.00
18842,CHILE CHIPOTLE COSTEÑA 2.8kg,ABACH,295.00,295.00,295.00,295.00
18846,CHILE CHIPOTLE COSTEÑA C/24/220,ABACH,36.00,36.00,34.00,34.00
18840,CHILE CHIPOTLES C/6/2.8 KG MEXICANO,ABACH,215.00,215.00,215.00,215.00
18839,CHILE CHIPOTLES MEXICANO C/24 220 g,ABACH,31.00,31.00,29.50,29.50
17746,CHILE POLVO PIQUIN CON SAL Y LIMON,SALSA,50.00,50.00,46.00,44.00
430121,CHILE SECO PORCION HEINZ C/400,FOOD,235.00,235.00,235.00,235.00
43012,CHILE SECO PORCION zafran C/1000,FOOZA,341.69,341.69,314.35,314.35
18821,CHILE TRITURADO ORGANIC C/150 GRS,SPECI,38.00,38.00,32.00,32.00
17745,CHILERIN C/25/950,SALSA,50.00,50.00,44.00,42.00
18883,CHILES LARGOS C/12/380,ABACH,56.00,56.00,53.00,53.00
18884,CHILES NACHOS COSTEÑA LATA C/6/2.9,ABACH,145.00,145.00,138.00,138.00
18943,CHILES RAJAS COSTEÑA C/6/2.9,ABACH,129.00,129.00,125.00,125.00
19083,CHIPS ALPEZZI BLANCO C/20 bls 500gr,MATCH,68.00,68.00,62.00,61.00
19082,CHIPS BICOLOR ALPEZZI   C/10kg,BAJA,130.00,120.00,105.00,105.00
19080,CHIPS H-125 ALPEZZI C/10,MATCH,160.00,140.00,135.00,135.00
19081,CHIPS LACTEO ALPEZZI C/10kg,MATCH,150.00,130.00,115.00,115.00
19060,CHIPS MINI ALPEZZI H-125 14000 C/10,MATCH,160.00,140.00,135.00,135.00
19019,CHISPAS BLANCO 16/500 GR SICAO,MATCH,69.00,69.00,64.00,64.00
19018,CHISPAS LECHE 16/500 GR SICAO,MATCH,65.00,65.00,60.00,60.00
19020,CHISPAS SEMI 16/500 GR SICAO,MATCH,88.00,88.00,78.00,78.00
19741,CHOCO BOMBON BREMEN C/5 KG,DULCE,240.00,240.00,220.00,210.00
19280,CHOCO GALLETA C/8,DULCE,80.00,80.00,71.00,71.00
19740,CHOCO PIEDRA C/10,DULCE,260.00,260.00,240.00,240.00
19300,CHOCOLATE ABUELITA 540gr/24 NESTLE,NESTL,94.00,94.00,92.01,92.01
19302,CHOCOLATE ABUELITA POLVO 1kg/8 NESTLE,NESTL,123.99,123.99,123.20,123.20
19319,CHOCOLATE CALLETS SEMI NESTLE 2.52 KILO,NESTL,270.00,270.00,260.00,250.00
19320,CHOCOLATE CON GRAGEA C/3 KG,DULCE,120.00,120.00,95.00,95.00
19362,CHOCOLATE M&MS c/11.34kg,DULCE,400.00,350.00,310.00,310.00
19340,CHOCOLATE MORELIA NESTLE  C/24,NESTL,38.01,38.01,33.00,33.00
43981,CHOCOLATE SIN AZUCAR TURIN KILO,DULCE,700.00,700.00,650.00,650.00
34201,CHOCOLATE TEENS AMARGO C/10kg KILO,DULCE,460.00,460.00,440.00,430.00
19360,CHOCORETAS GRANEL C/6 KG,DULCE,100.00,100.00,80.00,80.00
19381,CHONGO CORO 2.8kg/6pz,ABARR,295.00,295.00,295.00,295.00
19380,CHONGOS CORO 920gr/12,ABARR,109.00,109.00,108.00,108.00
19480,CIRUELA PASA DESHUESADA kilo cj/10 kg,FRUSE,120.00,120.00,95.00,95.00
19481,CIRUELA SIN HUESO 1 KG ALTEÑA,FRUSE,120.00,120.00,95.00,89.00
21915,CLAMATO C/8/2.5 lt,ABARR,88.00,88.00,88.00,88.00
21190,CLAVO MOLIDO ORGANIC C/200 GRS,SPECI,70.00,70.00,65.00,64.00
19660,COBERTURA BLANCA HIELATTO C/12,MATCH,102.00,102.00,98.00,98.00
19517,COBERTURA CHOCOFUENTE 1kg/12 PROCALLI,MATCH,85.00,85.00,78.00,78.00
19521,COBERTURA CHOCOLATE  PROCALI c/20/1,MATCH,64.00,64.00,58.00,54.00
19662,COBERTURA CHOCOLATE HIELATTO 1K C/12,MATCH,88.00,88.00,79.00,77.00
19663,COBERTURA DOLCEZZA 1kg/12 TURIN,MATCH,152.00,152.00,146.01,142.00
19661,COBERTURA FEDER HELADO C/12/1KG,MATPR,115.00,115.00,105.00,99.00
